"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"16245","Puffy Poplin Chemise","57499760108500","15223973380388","warehouse","1","Yellow / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_6b1c1491-f8fa-4573-a8b8-0da4dd7096f9.jpg?v=1720084581"
"16245","Hooded Oversized Shirt","10099393816304","15223973413156","warehouse","1","Cashmere","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_89e9701e-344c-478f-95bc-fde200ec1d70.jpg?v=1716818002"
"16245","Ruffles Shirt","57499767121700","15223973445924","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_e96da6b2-b6cf-4fdb-b066-53c40a4aff30.jpg?v=1715155389"
"16245","Linen Pleats Blouse","16499767007500","15223973478692","warehouse","1","Purple / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_8d2dfb61-a706-478a-8d27-6e16b2581041.jpg?v=1721217204"
"16245","Basic Blouse","16499767900200","15223973511460","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_8455f836-1b0f-4e04-97ae-90d3a7d16d56.jpg?v=1716994210"
"16246","Black Waist Cover Up","57499160621700","15223974101284","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16253","Basic Lycra Scarf","10011030975171","15224311054628","warehouse","1","DarkGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_9316aece-1c6a-4ff0-af42-a7982c8a0fd6.jpg?v=1719405061"
"16253","Basic Lycra Scarf","10011030975217","15224311087396","warehouse","1","GrapePurple","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_0f719592-0a7f-4fff-9ce3-47d10ea7250f.jpg?v=1713106243"
"16258","Ordinary Pin (Pack of 5)","80044340200001","15224421679396","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_ba2825e6-5f66-4ee9-ade7-62b3c602bb44.jpg?v=1719502011"
"16258","No Thread Underscarf","10022323000400","15224421744932","warehouse","1","LightPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Ka1Ymnkv0sw9fXElArTzZY2ypftODqmms1vlVHwt_6dd8bf11-c12d-4ebb-9d25-b2ff212bc03f.jpg?v=1719499398"
"16258","Must-Have Cotton Scarf","10011013584257","15224421777700","warehouse","2","PinkHaze","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_d6d04a84-8cfd-4a8f-913a-f879f479ce78.jpg?v=1715093515"
"16259","Long Sleeves Vest","10033333121700","15224489345316","warehouse","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/3C6Cj33SIYF36hum7johZlyHwCZvEZH760uOabUF_0ccd3eee-55a6-499e-920a-0577048fb9a6.jpg?v=1706294218"
"16259","Long Sleeves Vest","10033333100200","15224489378084","warehouse","1","Free size / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/lG9AgxMc19PMB7ig0uLbtayFMgncUNXbhHMYehUF_9dc88926-6635-4b17-91ac-949d353d44c4.jpg?v=1706294218"
"16267","Body Sleeveless Normal Neck","10033434521740","15224724619556","warehouse","1","Large / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Nx8xoCSzXVVHRymKZr0KyBrsqgaqXiQv1clfty0z_248b5035-68b5-4f59-9d24-437375d5f2a1.jpg?v=1706294189"
"16267","Essential Shirt","57499353320900","15224724685092","warehouse","1","Blue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_63f94762-6b5f-4c37-a2e6-a6bd86ce46db.jpg?v=1715284472"
"16268","Classy Linen Scarf","10011030979121","15224729272612","warehouse","1","Grey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_fe58c546-d23a-465d-9353-85b78b14f4bc.jpg?v=1714211944"
"16305","Jakkar Linen Scarf","10011030967001","15225051349284","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/16_7b17d253-a9db-4c5b-a0bc-2e3323c070ab.jpg?v=1713086547"
"16308","Black Waist Cover Up","57499160621700","15225146474788","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16309","Zipper Modest Burkini","17499169921720","15225316507940","warehouse","1","S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_07460b5f-6f25-429c-8aa5-609a8c792220.jpg?v=1721555319"
"16311","Flowy Glittery Scarf","10011000944217","15225359204644","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/17_9ed2ab4e-23d0-440d-abe2-76afa8133801.jpg?v=1716974696"
"16315","Black Waist Cover Up","57499160621700","15225921798436","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16318","Gradient Linen Scarf","10011012970105","15225933529380","warehouse","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/shVX2Hf2DtjI9FzcOHUjItnetWFytnodGitHtrO8_7252902b-7a9c-4d6e-a56d-1214c0da7920.jpg?v=1706296417"
"16318","Spray Scarf","56088181090006","15225933562148","warehouse","1","WarmScent","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/tov9S6mI29V67Jish2WpfLdEaPUEibqPeXDJuxOA_f48d3b5e-cb70-4419-8820-3ccf81a8742c.jpg?v=1706293797"
"16318","Washed Pants","47090561812123","15225933594916","warehouse","1","Grey / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/P1Axl3OvTOEACZcJAhf8BTVqX5s9f1od0GdW8PIf.jpg?v=1709746176"
"16320","Syrian Underscarf Close-End","10022121100300","15225944932644","warehouse","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_7fe50e97-c892-4980-8f31-099ab9cded77.jpg?v=1713095906"
"16320","No Thread Underscarf With Tie-Back","10022323121700","15225944965412","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/quSFbTrepLAdYVa23sN3VQGwms40PQ6gWEmLQNxn_4637d56c-aff0-4a2d-900a-bd4fab296f28.jpg?v=1706295767"
"16323","Chemise Sleeves Basic Undershirt","10033030000260","15225989923108","warehouse","1","2XL / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_7836ea87-c7d3-4c5b-b25c-dba943fb6f06.jpg?v=1716821094"
"16323","Stripped Basic Shirt","43499464600140","15225989955876","warehouse","1","3 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_a08bbb66-af57-412e-a027-236afe14cd89.jpg?v=1719415351"
"16324","Healthy Hair Underscarf","10022323800100","15225996509476","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/ljmv9qprzCbg3JCy9AH0jP6mKaVtPloOLitJNs2j_132ded0f-b147-4be6-9137-1ec157c49bfa.jpg?v=1706791911"
"16324","Portable Skirt","10088484142214","15225996542244","warehouse","1","Navy / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/3_5143499a-9aca-407d-a7a9-31eb3b9f2f05.jpg?v=1709746348"
"16324","Portable Isdal","10088484141172","15225996575012","warehouse","1","Olive / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/3_367a7495-8a83-486e-93cc-a913fa7f7512.jpg?v=1709746341"
"16325","Pleated Plain Square Scarf","10011120019002","15225998836004","warehouse","2","10","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Y5KW9cygsEldgzlym0QTt0srAX69ci8yKZpPOUcw_02cd54d2-04af-4c3e-a0c2-20280193bb7e.jpg?v=1706296478"
"16326","Plain Silk Square Scarf","10011140098014","15226002276644","warehouse","1","GreyishPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d96f054-c02d-410c-8212-0e2d8de8ea3b.jpg?v=1714231040"
"16326","Stretchy Multiway Turban","57422526004800","15226002309412","warehouse","1","Fushcia",""
"16327","Soft Lycra Scarf","10411030807160","15226068304164","warehouse","1","MintGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_6864fd29-6bc5-44e6-a715-338fe07fa94e.jpg?v=1712585165"
"16327","Must-Have Cotton Scarf","10011013584264","15226068336932","warehouse","1","BlushPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/16_3da5759f-4308-413d-a430-e645967e96d0.jpg?v=1714064622"
"16327","Bubble Gum Scarf","10011013046121","15226068369700","warehouse","1","Silver","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/7mpi41NKCYZU5U6JSh2k4JTPkfqn9dDzRUpEKFgM_2a6438fc-e8ca-4a81-b744-30a8e043a6b4.jpg?v=1706712140"
"16329","Letters Printed Modest Burkini","17499160862620","15226101956900","warehouse","1","S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_9327674f-796a-40cb-b25e-6a28fc809c02.jpg?v=1718290821"
"16330","Sleeveless Breathable Top","17499464200820","15226130563364","warehouse","1","Beige / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_46f315f6-4d25-44dc-af59-206cf53381aa.jpg?v=1719150429"
"16330","Breathable Sleeveless Dress","18499262200420","15226130596132","warehouse","1","Beige / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7a639f1a-dbb7-4aa8-989b-f958b82c73ce.jpg?v=1717493351"
"16331","Must Have Kimono","23499656421400","15226141835556","warehouse","1","Navy / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/17_079ac990-4e2c-46ce-a259-4369c8663956.jpg?v=1715194379"
"16332","Basic Lycra Scarf","10011030975214","15226143473956","warehouse","1","DarkNavy","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_da85d03c-e451-4f4f-ae94-e5e87fa84fe8.jpg?v=1713106243"
"16332","Basic Lycra Scarf","10011030975264","15226143506724","warehouse","1","LinenBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/22_d59e7a42-47ce-488f-a5ce-d552d8b0c40e.jpg?v=1713106244"
"16333","Black Waist Cover Up","57499160621700","15226147504420","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_011e0c35-7461-49b5-baef-d2f510709e4c.jpg?v=1719503134"
"16335","Cotton Kuwaiti with Tie-Back","10022323521700","15226163986724","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/TfyyThHklzuHGMQP1TPQcBXdn0XlLWcIpU88YiLA_04204435-78ed-44e8-9efe-6beabedf7181.jpg?v=1706295785"
